obamacare no_augmentation 1 mlm
Breitbart
{'eval_loss': 1.9091196060180664, 'eval_runtime': 2.1105, 'eval_samples_per_second': 348.258, 'eval_steps_per_second': 43.591, 'epoch': 12.0}
{'eval_loss': 1.9085578918457031, 'eval_runtime': 2.1112, 'eval_samples_per_second': 348.148, 'eval_steps_per_second': 43.578, 'epoch': 13.0}
{'eval_loss': 1.9176127910614014, 'eval_runtime': 2.1102, 'eval_samples_per_second': 348.312, 'eval_steps_per_second': 43.598, 'epoch': 14.0}
{'eval_loss': 1.9826291799545288, 'eval_runtime': 2.1097, 'eval_samples_per_second': 348.394, 'eval_steps_per_second': 43.608, 'epoch': 15.0}
{'eval_loss': 1.8670907020568848, 'eval_runtime': 2.1105, 'eval_samples_per_second': 348.251, 'eval_steps_per_second': 43.591, 'epoch': 16.0}
{'eval_loss': 1.8920037746429443, 'eval_runtime': 2.1084, 'eval_samples_per_second': 348.603, 'eval_steps_per_second': 43.635, 'epoch': 17.0}
{'eval_loss': 1.8980425596237183, 'eval_runtime': 2.111, 'eval_samples_per_second': 348.174, 'eval_steps_per_second': 43.581, 'epoch': 18.0}
{'train_runtime': 1482.5034, 'train_samples_per_second': 88.294, 'train_steps_per_second': 5.524, 'train_loss': 1.6093067956349207, 'epoch': 18.0}
HuffPost
{'eval_loss': 1.9849896430969238, 'eval_runtime': 3.0833, 'eval_samples_per_second': 367.134, 'eval_steps_per_second': 46.054, 'epoch': 1.0}
{'eval_loss': 1.9109861850738525, 'eval_runtime': 3.0884, 'eval_samples_per_second': 366.533, 'eval_steps_per_second': 45.979, 'epoch': 2.0}
{'eval_loss': 1.836669921875, 'eval_runtime': 3.0896, 'eval_samples_per_second': 366.387, 'eval_steps_per_second': 45.96, 'epoch': 3.0}
{'eval_loss': 1.8463033437728882, 'eval_runtime': 3.0864, 'eval_samples_per_second': 366.769, 'eval_steps_per_second': 46.008, 'epoch': 4.0}
{'eval_loss': 1.837153434753418, 'eval_runtime': 3.0935, 'eval_samples_per_second': 365.932, 'eval_steps_per_second': 45.903, 'epoch': 5.0}
{'eval_loss': 1.8140701055526733, 'eval_runtime': 3.0908, 'eval_samples_per_second': 366.242, 'eval_steps_per_second': 45.942, 'epoch': 6.0}
{'eval_loss': 1.7588163614273071, 'eval_runtime': 3.0909, 'eval_samples_per_second': 366.234, 'eval_steps_per_second': 45.941, 'epoch': 7.0}
{'eval_loss': 1.7758402824401855, 'eval_runtime': 3.089, 'eval_samples_per_second': 366.467, 'eval_steps_per_second': 45.97, 'epoch': 8.0}
{'eval_loss': 1.7749594449996948, 'eval_runtime': 3.0925, 'eval_samples_per_second': 366.052, 'eval_steps_per_second': 45.918, 'epoch': 9.0}
{'eval_loss': 1.7042194604873657, 'eval_runtime': 3.09, 'eval_samples_per_second': 366.337, 'eval_steps_per_second': 45.954, 'epoch': 10.0}
{'eval_loss': 1.7228697538375854, 'eval_runtime': 3.0906, 'eval_samples_per_second': 366.266, 'eval_steps_per_second': 45.945, 'epoch': 11.0}
{'eval_loss': 1.77518892288208, 'eval_runtime': 3.0882, 'eval_samples_per_second': 366.562, 'eval_steps_per_second': 45.982, 'epoch': 12.0}
{'eval_loss': 1.6970492601394653, 'eval_runtime': 3.0908, 'eval_samples_per_second': 366.245, 'eval_steps_per_second': 45.942, 'epoch': 13.0}
{'eval_loss': 1.7851533889770508, 'eval_runtime': 3.093, 'eval_samples_per_second': 365.984, 'eval_steps_per_second': 45.91, 'epoch': 14.0}
{'eval_loss': 1.6921459436416626, 'eval_runtime': 3.0894, 'eval_samples_per_second': 366.412, 'eval_steps_per_second': 45.963, 'epoch': 15.0}
{'eval_loss': 1.75491464138031, 'eval_runtime': 3.0913, 'eval_samples_per_second': 366.184, 'eval_steps_per_second': 45.935, 'epoch': 16.0}
{'eval_loss': 1.7407068014144897, 'eval_runtime': 3.0908, 'eval_samples_per_second': 366.252, 'eval_steps_per_second': 45.943, 'epoch': 17.0}
{'eval_loss': 1.7582319974899292, 'eval_runtime': 3.0918, 'eval_samples_per_second': 366.135, 'eval_steps_per_second': 45.929, 'epoch': 18.0}
{'train_runtime': 1872.1062, 'train_samples_per_second': 97.475, 'train_steps_per_second': 6.096, 'train_loss': 1.5605516671048019, 'epoch': 18.0}
